Model,Name,KM Driven,Fuel,Transmission,Owners,Price,Location
2018,Honda WR-V,34190.0,Petrol,Manual,2nd owner,546000.0,Seawood
2018,Honda City,40190.0,Petrol,Manual,1st owner,598000.0,Korum
2020,Honda Jazz,31380.0,Petrol,Auto,2nd owner,597000.0,Kandivali
2019,Honda Amaze,25720.0,Petrol,Auto,2nd owner,505000.0,Mulund
2018,Honda BR-V,69400.0,Petrol,Manual,1st owner,595000.0,Regency
2018,Honda Amaze,43440.0,Petrol,Auto,1st owner,405999.99999999994,Seawood
2019,Honda Amaze,51240.0,CNG,Manual,2nd owner,550000.0,Kandivali
2015,Honda Jazz,66960.0,Petrol,Manual,2nd owner,333000.0,Seawood
2018,Honda WR-V,35300.0,Petrol,Manual,1st owner,490000.00000000006,Goregaon
2023,Honda ELEVATE,9070.0,Petrol,Manual,1st owner,1360000.0,Mulund
2017,Honda WR-V,33240.0,Petrol,Manual,1st owner,528000.0,Kandivali
2019,Honda Amaze,31960.0,Petrol,Auto,1st owner,597000.0,Seawood
2017,Honda Jazz,5640.0,Petrol,Auto,1st owner,517000.0,Korum
2018,Honda Amaze,70770.0,Diesel,Auto,1st owner,580000.0,Goregaon
2020,Honda City,39260.0,Petrol,Auto,1st owner,975000.0,Kandivali
2022,Honda Amaze,13420.0,Petrol,Auto,1st owner,717000.0,Mulund
2015,Honda City,59950.0,Petrol,Manual,1st owner,497000.0,Goregaon
2018,Honda City,39750.0,Petrol,Auto,1st owner,765000.0,Mulund
2019,Honda City,31770.0,Petrol,Auto,1st owner,735000.0,Regency
2014,Honda Brio,34180.0,Petrol,Auto,1st owner,364000.0,Mulund
2021,Honda Jazz,44170.0,Petrol,Auto,1st owner,690000.0,Goregaon
2018,Honda WR-V,31900.0,Petrol,Manual,1st owner,540000.0,Regency
2021,Honda Jazz,29590.0,Petrol,Auto,1st owner,702000.0,Regency
2017,Honda City,43230.0,Petrol,Manual,2nd owner,578000.0,Kandivali
2021,Honda Amaze,13860.0,Petrol,Manual,1st owner,546000.0,Regency
2021,Honda Jazz,25620.0,Petrol,Auto,1st owner,627000.0,Mulund
